mm_Lead__c,mm_Contact__c,mm_Stage__c,mm_Start_Date__c,Lead_Contact_Source__c,CreatedDate
,,Closed,10/1/2024,,2024-10-01T18:11:18.000+0000
,,Evaluation,10/1/2024,,2024-10-01T18:11:40.000+0000
00QV5000008I4LyMAK,,Nurture,10/1/2024,Webinar,2024-10-01T18:11:49.000+0000
00QV5000008I4MHMA0,,Nurture,10/1/2024,Event,2024-10-01T18:11:49.000+0000
00QV5000008Rr6rMAC,,Nurture,10/1/2024,LinkedIn Ad,2024-10-01T18:11:49.000+0000
00QV5000008oH2fMAE,,Nurture,10/1/2024,LinkedIn Ad,2024-10-01T18:11:49.000+0000
00QV5000008xjapMAA,,Nurture,10/1/2024,Events,2024-10-01T18:11:49.000+0000
00QV5000008xnhdMAA,,Nurture,10/1/2024,Events,2024-10-01T18:11:49.000+0000
00QV5000009H7HeMAK,,Nurture,10/1/2024,LinkedIn Ad,2024-10-01T18:11:49.000+0000
00QV5000009uLTFMA2,,Nurture,10/1/2024,Webinar,2024-10-01T18:11:49.000+0000
00QV5000009uLl8MAE,,Nurture,10/1/2024,Webinar,2024-10-01T18:11:49.000+0000
00QV5000009uLl9MAE,,Nurture,10/1/2024,Webinar,2024-10-01T18:11:49.000+0000
00QV5000009uLooMAE,,Nurture,10/1/2024,Webinar,2024-10-01T18:11:49.000+0000
00QV5000009uUIGMA2,,Nurture,10/1/2024,Webinar,2024-10-01T18:11:49.000+0000
00QV5000009uUIJMA2,,Nurture,10/1/2024,Webinar,2024-10-01T18:11:49.000+0000
00QV5000009uUIKMA2,,Nurture,10/1/2024,Webinar,2024-10-01T18:11:49.000+0000
00QV5000009uUIWMA2,,Nurture,10/1/2024,Webinar,2024-10-01T18:11:49.000+0000
00QV5000009uUIXMA2,,Nurture,10/1/2024,Webinar,2024-10-01T18:11:49.000+0000
00QV5000009xIOuMAM,,Nurture,10/1/2024,Webinar,2024-10-01T18:11:49.000+0000
00QV500000A6mPDMAZ,,Nurture,10/1/2024,Events,2024-10-01T18:11:49.000+0000
00QV500000A6mPEMAZ,,Nurture,10/1/2024,Events,2024-10-01T18:11:49.000+0000
00QV500000A6mPFMAZ,,Nurture,10/1/2024,Events,2024-10-01T18:11:49.000+0000
00QV500000A6mPIMAZ,,Nurture,10/1/2024,Events,2024-10-01T18:11:49.000+0000
00QV500000A6mPJMAZ,,Nurture,10/1/2024,Events,2024-10-01T18:11:49.000+0000
,,Closed,10/1/2024,,2024-10-01T18:11:52.000+0000
,,Escalated,10/1/2024,,2024-10-01T18:15:22.000+0000
,,Open,10/1/2024,,2024-10-01T18:28:36.000+0000
,,Escalated,10/1/2024,,2024-10-01T18:29:19.000+0000
,,Open,10/1/2024,,2024-10-01T18:33:08.000+0000
,,Escalated,10/1/2024,,2024-10-01T18:36:50.000+0000
00QV500000AaE57MAF,,Suspect,10/1/2024,Website,2024-10-01T18:40:45.000+0000
,,Customer Response,10/1/2024,,2024-10-01T18:41:02.000+0000
,,On Hold,10/1/2024,,2024-10-01T18:42:26.000+0000
,,Evaluation,10/1/2024,,2024-10-01T18:43:07.000+0000
